time[YYYY-MM-DD hh:mm:ss PST], oxygensat, oxygen,depth,,
6/1/17 0:28,83.138,5.295,16,,
6/1/17 1:28,85.449,5.433,16,,
6/1/17 2:28,97.041,6.143,16,,
6/1/17 3:28,142.801,9.06,16,,
6/1/17 4:28,89.374,5.673,16,,
6/1/17 5:28,140.405,8.954,16,,
6/1/17 6:28,122.777,7.901,16,,
6/1/17 7:28,66.271,4.273,16,,
6/1/17 8:28,67.293,4.332,16,,
6/1/17 9:28,67.223,4.321,16,,
6/1/17 10:28,69.294,4.456,16,,
6/1/17 11:28,71.932,4.621,16,,
6/1/17 12:28,83.456,5.318,16,,
6/1/17 13:28,78.362,5.001,16,,
6/1/17 14:28,76.096,4.905,16,,
6/1/17 15:28,76.693,4.898,16,,
6/1/17 16:28,74.808,4.769,16,,
6/1/17 17:28,75.129,4.787,16,,
6/1/17 18:28,73.928,4.785,16,,
6/1/17 19:28,69.482,4.458,16,,
6/1/17 20:28,73.197,4.67,16,,
6/1/17 21:28,76.29,4.861,16,,
6/1/17 22:28,80.84,5.139,16,,
6/1/17 23:28,81.809,5.196,16,,
6/2/17 0:28,81.998,5.204,16,,
6/2/17 1:28,78.857,5.03,16,,
6/2/17 2:28,76.282,4.872,16,,
6/2/17 3:28,74.418,4.765,16,,
6/2/17 4:28,73.647,4.712,16,,
6/2/17 5:28,75.125,4.797,16,,
6/2/17 6:28,72.481,4.638,16,,
6/2/17 7:28,70.602,4.51,16,,
6/2/17 8:28,94.968,6.075,16,,
6/2/17 9:28,127.398,8.14,16,,
6/2/17 10:28,79.245,5.061,16,,
6/2/17 11:28,76.296,4.882,16,,
6/2/17 12:28,75.905,4.862,16,,
6/2/17 13:28,82.719,5.323,16,,
6/2/17 14:28,81.813,5.207,16,,
6/2/17 15:28,76.095,4.871,16,,
6/2/17 16:28,76.93,4.917,16,,
6/2/17 17:28,76.222,4.877,16,,
6/2/17 18:28,71.921,4.622,16,,
6/2/17 19:28,71.277,4.578,16,,
6/2/17 20:28,75.518,4.834,16,,
6/2/17 21:28,76.863,4.908,16,,
6/2/17 22:28,86.171,5.455,16,,
6/2/17 23:28,87.661,5.55,16,,
6/3/17 0:28,100.478,6.283,16,,
6/3/17 1:28,92.935,5.867,16,,
6/3/17 2:28,75.967,4.859,16,,
6/3/17 3:28,77.746,4.95,16,,
6/3/17 4:28,72.43,4.645,16,,
6/3/17 5:28,73.395,4.702,16,,
6/3/17 6:28,76.941,4.922,16,,
6/3/17 7:28,71.155,4.578,16,,
6/3/17 8:28,78.804,5.03,16,,
6/3/17 9:28,80.736,5.15,16,,
6/3/17 10:28,78.421,5.011,16,,
6/3/17 11:28,72.05,4.623,16,,
6/3/17 12:28,78.408,4.998,16,,
6/3/17 13:28,109.334,6.845,16,,
6/3/17 14:28,108.643,6.768,16,,
6/3/17 15:28,114.241,7.101,16,,
6/3/17 16:28,78.738,5.02,16,,
6/3/17 17:28,78.992,5.036,16,,
6/3/17 18:28,76.693,4.911,16,,
6/3/17 19:28,70.703,4.546,16,,
