time[YYYY-MM-DD hh:mm:ss PST], oxygensat, oxygen,depth
6/27/18 16:44,87.711,5.488,1
6/27/18 17:44,84.847,5.32,1
6/27/18 18:44,89.921,5.625,1
6/27/18 19:44,92.246,5.769,1
6/27/18 20:44,91.731,5.74,1
6/27/18 21:44,92.053,5.763,1
6/27/18 22:44,82.527,5.227,1
6/27/18 23:44,81.822,5.178,1
6/28/18 0:44,83.673,5.285,1
6/28/18 1:44,78.782,4.996,1
6/28/18 2:44,77.748,4.987,1
6/28/18 3:44,86.97,5.465,1
6/28/18 4:44,81.086,5.125,1
6/28/18 5:44,78.998,4.995,1
6/28/18 6:44,82.341,5.191,1
6/28/18 7:44,89.151,5.602,1
6/28/18 8:44,85.627,5.366,1
6/28/18 9:44,92.585,5.794,1
6/28/18 10:44,95.773,5.977,1
6/28/18 11:44,97.583,6.092,1
6/28/18 12:44,109.228,6.739,1
6/28/18 13:44,99.076,6.124,1
6/28/18 14:44,102.107,6.288,1
6/28/18 15:44,95.736,5.894,1
6/28/18 16:44,114.532,7.007,1
6/28/18 17:44,110.998,6.819,1
6/28/18 18:44,107.648,6.648,1
6/28/18 19:44,105.004,6.496,1
6/28/18 20:44,100.963,6.259,1
6/28/18 21:44,110.24,6.782,1
6/28/18 22:44,90.096,5.591,1
6/28/18 23:44,114.798,7.034,1
6/29/18 0:44,110.649,6.777,1
6/29/18 1:44,121.18,7.414,1
6/29/18 2:44,107.431,6.622,1
6/29/18 3:44,-26.212,-1.655,1
6/29/18 4:44,89.637,5.618,1
6/29/18 5:44,82.957,5.26,1
6/29/18 6:44,89.099,5.667,1
6/29/18 7:44,84.151,5.319,1
6/29/18 8:44,85.257,5.347,1
6/29/18 9:10,97.676,6.128,1
6/29/18 9:22,27.787,1.732,1
6/29/18 9:29,103.073,6.414,1
6/29/18 10:29,110.461,6.854,1
6/29/18 11:29,107.176,6.613,1
6/29/18 12:29,105.895,6.491,1
6/29/18 13:29,108.272,6.597,1
6/29/18 14:29,105.693,6.411,1
6/29/18 15:29,97.682,5.927,1
6/29/18 16:29,111.559,6.779,1
6/29/18 17:29,120.849,7.37,1
6/29/18 18:29,118.25,7.239,1
6/29/18 19:29,116.459,7.169,1
6/29/18 20:29,120.272,7.442,1
6/29/18 21:29,109.506,6.806,1
6/29/18 22:29,117.718,7.283,1
6/29/18 23:29,108.988,6.766,1
6/30/18 0:29,119.032,7.334,1
6/30/18 1:29,118.766,7.32,1
6/30/18 2:29,119.397,7.346,1
6/30/18 3:29,118.43,7.287,1
6/30/18 4:29,108.056,6.714,1
6/30/18 5:29,115.293,7.116,1
6/30/18 6:29,116.018,7.16,1
6/30/18 7:29,108.974,6.775,1
6/30/18 8:29,106.874,6.656,1
6/30/18 9:29,114.586,7.116,1
6/30/18 10:29,135.191,8.231,1
6/30/18 11:29,126.779,7.805,1
6/30/18 12:29,129.232,7.974,1
6/30/18 13:29,128.17,7.846,1
6/30/18 14:29,123.742,7.615,1
6/30/18 15:29,107.436,6.642,1
6/30/18 16:29,112.954,7.007,1
6/30/18 17:29,112.054,6.888,1
6/30/18 18:29,129.911,8.024,1
6/30/18 19:29,122.455,7.597,1
6/30/18 20:29,102.516,6.388,1
6/30/18 21:29,106.376,6.619,1
6/30/18 22:29,108.006,6.731,1
6/30/18 23:29,102.447,6.408,1
7/1/18 0:29,93.99,5.909,1
7/1/18 1:29,86.95,5.534,1
7/1/18 2:29,90.579,5.748,1
7/1/18 3:29,92.143,5.807,1
7/1/18 4:29,99.491,6.202,1
7/1/18 5:29,96.09,5.989,1
7/1/18 6:29,97.626,6.126,1
7/1/18 7:29,92.355,5.809,1
7/1/18 8:29,85.454,5.392,1
7/1/18 9:29,99.056,6.206,1
7/1/18 10:29,78.329,4.956,1
7/1/18 11:29,106.084,6.549,1
7/1/18 12:29,104.539,6.448,1
7/1/18 13:29,102.358,6.388,1
7/1/18 14:29,102.341,6.333,1
7/1/18 15:29,99.561,6.193,1
7/1/18 16:29,87.917,5.491,1
7/1/18 17:29,113.639,6.922,1
7/1/18 18:29,134.741,8.252,1
7/1/18 19:29,111.936,6.859,1
7/1/18 20:29,88.583,5.537,1
7/1/18 21:29,84.901,5.374,1
7/1/18 22:29,80.556,5.095,1
7/1/18 23:29,79.44,5.027,1
