time[YYYY-MM-DD hh:mm:ss PST], turbidity, fluorescence
5/24/15 12:10,0.162,0.012
5/24/15 12:25,0.174,0.036
5/24/15 12:40,0.162,0.048
5/24/15 12:55,0.27,0.048
5/24/15 13:11,0.156,0.048
5/24/15 13:26,0.168,0.012
5/24/15 13:41,0,0.012
5/24/15 13:56,0,0.012
5/24/15 14:11,0,0.012
5/24/15 14:26,0,0.012
5/24/15 14:41,0,0.012
5/24/15 14:56,0,0.012
5/24/15 15:11,0,0.012
5/24/15 15:26,0,0.012
5/24/15 15:41,0,0.012
5/24/15 15:56,0,0.012
5/24/15 16:11,0,0.012
5/24/15 16:26,0,0.012
5/24/15 16:41,0,0.012
5/24/15 17:26,0.624,4.175
5/24/15 17:41,0.564,7.357
5/24/15 17:56,0.516,4.308
5/24/15 18:11,0.534,5.409
5/24/15 18:26,0.504,5.36
5/24/15 18:41,0.522,5.07
5/24/15 18:56,0.666,1.851
5/24/15 19:11,0.672,1.876
5/24/15 19:26,0.588,1.851
5/24/15 19:41,0.57,1.186
5/24/15 19:56,0.696,1.186
5/24/15 20:11,0.756,1.053
5/24/15 20:26,0.648,1.162
5/24/15 20:42,0.618,1.246
5/24/15 20:57,0.636,1.21
5/24/15 21:12,0.768,1.137
5/24/15 21:27,0.714,1.234
5/24/15 21:42,0.792,1.234
5/24/15 21:57,0.696,1.367
5/24/15 22:12,0.636,1.452
5/24/15 22:27,0.522,1.67
5/24/15 22:42,0.516,1.767
5/24/15 22:57,0.486,1.827
5/24/15 23:12,0.444,1.742
5/24/15 23:27,0.432,1.839
5/24/15 23:42,0.396,1.706
5/24/15 23:57,0.372,1.646
5/25/15 0:12,0.354,1.779
5/25/15 0:27,0.354,1.827
5/25/15 0:42,0.36,1.803
5/25/15 0:57,0.33,1.755
5/25/15 1:12,0.354,1.936
5/25/15 1:27,0.336,1.936
5/25/15 1:42,0.354,1.948
5/25/15 1:57,0.348,2.142
5/25/15 2:12,0.354,2.553
5/25/15 2:27,0.348,2.686
5/25/15 2:42,0.342,3.001
5/25/15 2:57,0.354,3.001
5/25/15 3:12,0.324,2.807
5/25/15 3:27,0.378,2.735
5/25/15 3:42,0.354,3.146
5/25/15 3:57,0.348,2.795
5/25/15 4:13,0.714,1.561
5/25/15 4:28,0.726,1.525
5/25/15 4:43,0.684,1.779
5/25/15 4:58,0.708,1.67
5/25/15 5:13,0.882,1.355
5/25/15 5:28,0.864,1.646
5/25/15 5:43,0.834,1.658
5/25/15 5:58,0.852,1.585
5/25/15 6:13,0.81,1.706
5/25/15 6:28,0.816,1.089
5/25/15 6:43,0.804,1.174
5/25/15 6:58,0.81,1.016
5/25/15 7:13,0.822,0.944
5/25/15 7:28,0.87,0.835
5/25/15 7:43,0.882,0.799
5/25/15 7:58,0.984,0.75
5/25/15 8:13,0.858,0.653
5/25/15 8:28,0.804,0.787
5/25/15 8:43,0.84,0.617
5/25/15 8:58,0.792,0.678
5/25/15 9:13,0.756,0.629
5/25/15 9:28,0.69,0.762
5/25/15 9:43,0.624,0.738
5/25/15 9:58,0.54,0.762
5/25/15 10:13,0.504,1.089
5/25/15 10:28,0.468,0.811
5/25/15 10:43,0.474,0.92
5/25/15 10:58,0.45,0.92
5/25/15 11:13,0.48,1.125
5/25/15 11:28,0.456,0.871
5/25/15 11:44,0.444,0.92
5/25/15 11:59,0.462,0.811
5/25/15 12:14,0.432,1.004
5/25/15 12:29,0.468,1.137
5/25/15 12:44,0.498,1.174
5/25/15 12:59,0.444,0.908
5/25/15 13:14,0.522,0.666
5/25/15 13:29,0.606,0.641
5/25/15 13:44,0.636,0.883
5/25/15 13:59,0.654,1.089
5/25/15 14:14,0.636,0.883
5/25/15 14:29,0.636,0.968
5/25/15 14:44,0.696,1.004
5/25/15 14:59,0.732,1.198
5/25/15 15:14,0.756,1.416
5/25/15 15:29,0.75,1.488
5/25/15 15:44,0.732,1.621
5/25/15 15:59,0.762,1.67
5/25/15 16:14,0.714,2.299
5/25/15 16:29,0.72,2.154
5/25/15 16:44,0.51,4.283
5/25/15 16:59,0.642,2.771
5/25/15 17:14,0.69,2.638
5/25/15 17:29,0.69,2.856
5/25/15 17:44,0.69,2.275
5/25/15 17:59,0.654,2.408
5/25/15 18:14,0.642,2.178
5/25/15 18:29,0.678,2.335
5/25/15 18:44,0.72,1.912
5/25/15 18:59,0.762,1.73
5/25/15 19:15,0.702,2.166
5/25/15 19:30,0.654,2.347
5/25/15 19:45,0.606,2.408
5/25/15 20:00,0.612,2.686
5/25/15 20:15,0.48,2.275
5/25/15 20:30,0.498,2.311
5/25/15 20:45,0.594,1.888
5/25/15 21:00,0.606,1.839
5/25/15 21:15,0.618,1.827
5/25/15 21:30,0.576,1.876
5/25/15 21:45,0.888,1.561
5/25/15 22:00,0.786,1.682
5/25/15 22:15,0.894,1.537
5/25/15 22:30,0.852,1.488
5/25/15 22:45,0.744,1.755
5/25/15 23:00,0.684,1.876
5/25/15 23:15,0.6,1.984
5/25/15 23:30,0.48,2.021
5/25/15 23:45,0.426,2.408
5/26/15 0:00,0.378,2.698
5/26/15 0:15,0.36,2.638
5/26/15 0:30,0.342,2.723
5/26/15 0:45,0.342,2.626
5/26/15 1:00,0.372,3.013
5/26/15 1:15,0.402,2.844
5/26/15 1:30,0.402,2.952
5/26/15 1:45,0.372,2.819
5/26/15 2:00,0.444,3.654
5/26/15 2:15,0.42,3.255
5/26/15 2:30,0.414,3.086
