time[YYYY-MM-DD hh:mm:ss PST], fluorescence
5/27/16 12:45,0.134
5/27/16 12:55,0.134
5/27/16 13:05,0.147
5/27/16 13:15,0.134
5/27/16 13:25,0.134
5/27/16 13:35,0.134
5/27/16 13:45,0.134
5/27/16 13:55,0.134
5/27/16 14:05,0.134
5/27/16 14:15,0.134
5/27/16 14:25,0.147
5/27/16 14:35,0.134
5/27/16 14:45,0.147
5/27/16 14:55,0.134
5/27/16 15:05,0.134
5/27/16 15:15,0.134
5/27/16 15:25,0.134
5/27/16 15:35,0.134
5/27/16 15:45,0.134
5/27/16 15:55,0.134
5/27/16 16:05,0.134
5/27/16 16:15,0.134
5/27/16 16:25,0.134
5/27/16 16:35,0.134
5/27/16 16:45,0.134
5/27/16 16:55,0.134
5/27/16 17:05,2.112
5/27/16 17:15,2.772
5/27/16 17:25,1.954
5/27/16 17:35,3.26
5/27/16 17:45,3.004
5/27/16 17:55,3.358
5/27/16 18:05,4.505
5/27/16 18:15,3.468
5/27/16 18:25,3.639
5/27/16 18:35,2.821
5/27/16 18:45,3.419
5/27/16 18:55,3.248
5/27/16 19:05,3.907
5/27/16 19:15,3.541
5/27/16 19:25,3.578
5/27/16 19:35,4.396
5/27/16 19:45,5.861
5/27/16 19:55,4.664
5/27/16 20:05,5.91
5/27/16 20:15,6.19
5/27/16 20:25,6.288
5/27/16 20:35,6.093
5/27/16 20:45,7.937
5/27/16 20:55,6.947
5/27/16 21:05,5.458
5/27/16 21:15,6.227
5/27/16 21:25,5.556
5/27/16 21:35,5.433
5/27/16 21:45,4.567
5/27/16 21:55,5.641
5/27/16 22:05,5.299
5/27/16 22:15,5.531
5/27/16 22:25,5.629
5/27/16 22:35,5.568
5/27/16 22:45,5.58
5/27/16 22:55,5.507
5/27/16 23:05,4.994
5/27/16 23:15,5.934
5/27/16 23:25,6.288
5/27/16 23:35,5.958
5/27/16 23:45,6.264
5/27/16 23:55,5.775
5/28/16 0:05,5.665
5/28/16 0:15,0.134
5/28/16 0:25,2.308
5/28/16 0:35,0.122
5/28/16 0:45,2.747
5/28/16 0:55,0.134
5/28/16 1:05,3.004
5/28/16 1:15,0.134
5/28/16 1:25,2.491
5/28/16 1:35,2.222
5/28/16 1:45,3.028
5/28/16 1:55,1.099
5/28/16 2:05,2.381
5/28/16 2:15,4.579
5/28/16 2:25,2.918
5/28/16 2:35,3.81
5/28/16 2:45,3.663
5/28/16 2:55,4.261
5/28/16 3:05,4.957
5/28/16 3:15,4.603
5/28/16 3:25,4.408
5/28/16 3:35,4.127
5/28/16 3:45,4.615
5/28/16 3:55,4.628
5/28/16 4:05,4.603
5/28/16 4:15,4.554
5/28/16 4:25,5.116
5/28/16 4:35,4.615
5/28/16 4:45,5.336
5/28/16 4:55,5.128
5/28/16 5:05,4.737
5/28/16 5:15,4.786
5/28/16 5:25,4.432
5/28/16 5:35,7.912
5/28/16 5:45,6.447
5/28/16 5:55,6.178
5/28/16 6:05,4.872
5/28/16 6:15,3.932
5/28/16 6:25,3.443
5/28/16 6:35,3.675
5/28/16 6:45,4.383
5/28/16 6:55,4.969
5/28/16 7:05,3.59
5/28/16 7:15,3.578
5/28/16 7:25,4.005
5/28/16 7:35,3.443
5/28/16 7:45,2.784
5/28/16 7:55,2.808
5/28/16 8:05,2.943
5/28/16 8:15,3.407
5/28/16 8:25,3.932
5/28/16 8:35,3.126
5/28/16 8:45,3.04
5/28/16 8:55,3.236
5/28/16 9:05,3.04
5/28/16 9:15,3.26
5/28/16 9:25,3.053
5/28/16 9:35,3.089
5/28/16 9:45,2.54
5/28/16 9:55,2.259
5/28/16 10:05,1.941
5/28/16 10:15,1.819
5/28/16 10:25,1.697
5/28/16 10:35,1.587
5/28/16 10:45,2.051
5/28/16 10:55,2.1
5/28/16 11:05,2.015
5/28/16 11:15,1.587
5/28/16 11:25,2.039
5/28/16 11:35,1.795
5/28/16 11:45,2.137
5/28/16 11:55,1.807
5/28/16 12:05,2.088
5/28/16 12:15,2.259
5/28/16 12:25,2.161
5/28/16 12:35,2.308
5/28/16 12:45,2.686
5/28/16 12:55,2.527
5/28/16 13:05,3.26
5/28/16 13:15,3.089
5/28/16 13:25,3.15
5/28/16 13:35,3.443
5/28/16 13:45,3.48
5/28/16 13:55,3.834
5/28/16 14:05,4.139
5/28/16 14:15,4.151
5/28/16 14:25,4.09
5/28/16 14:45,4.237
5/28/16 14:55,4.188
5/28/16 15:05,4.298
5/28/16 15:15,4.725
5/28/16 15:25,5.201
5/28/16 15:35,4.86
5/28/16 15:45,5.458
5/28/16 15:55,6.361
5/28/16 16:05,6.325
5/28/16 16:15,6.557
5/28/16 16:25,5.983
5/28/16 16:35,7.228
5/28/16 16:45,7.985
5/28/16 16:55,8.095
5/28/16 17:05,8.046
5/28/16 17:15,7.399
5/28/16 17:25,7.814
5/28/16 17:35,7.717
5/28/16 17:45,7.692
5/28/16 17:55,7.192
5/28/16 18:05,7.241
5/28/16 18:25,6.899
5/28/16 18:35,6.496
5/28/16 18:45,7.07
5/28/16 18:55,7.692
5/28/16 19:05,6.545
5/28/16 19:15,6.679
