time[YYYY-MM-DD hh:mm:ss PST], nitrate,depth
5/27/16 15:14,20.79,35
5/27/16 15:34,20.82,35
5/27/16 15:54,20.79,35
5/27/16 15:54,20.79,35
5/27/16 15:54,20.79,35
5/27/16 15:54,20.79,35
5/27/16 15:54,20.79,35
5/27/16 16:54,17.71,35
5/27/16 16:54,17.71,35
5/27/16 16:54,17.71,35
5/27/16 17:54,14.92,35
5/27/16 18:54,12.51,35
5/27/16 23:14,18.88,35
5/27/16 23:54,19.01,35
5/28/16 0:14,20.35,35
5/28/16 0:14,20.35,35
5/28/16 0:34,20.28,35
5/28/16 0:34,20.28,35
5/28/16 0:54,20.39,35
5/28/16 1:14,20.56,35
5/28/16 1:34,20.54,35
5/28/16 1:34,20.54,35
5/28/16 1:34,20.54,35
5/28/16 2:14,20.93,35
5/28/16 2:14,20.93,35
5/28/16 2:54,20.69,35
5/28/16 2:54,20.69,35
5/28/16 2:54,20.69,35
5/28/16 2:54,20.69,35
5/28/16 2:54,20.69,35
5/28/16 3:14,21.06,35
5/28/16 3:34,20.78,35
5/28/16 3:54,20.69,35
5/28/16 4:14,19.96,35
5/28/16 9:54,14.05,35
5/28/16 10:34,17.36,35
5/28/16 10:34,17.36,35
5/28/16 11:14,18.11,35
5/28/16 11:34,16.09,35
5/28/16 11:54,10.18,35
5/28/16 11:54,10.18,35
5/28/16 12:14,10.46,35
5/28/16 12:14,10.46,35
5/28/16 12:34,9.48,35
5/28/16 12:54,9.05,35
5/28/16 12:54,9.05,35
5/28/16 12:54,9.05,35
5/28/16 12:54,9.05,35
5/28/16 12:54,9.05,35
5/28/16 12:54,9.05,35
5/28/16 13:14,9.07,35
5/28/16 13:14,9.07,35
5/28/16 13:54,10.04,35
5/28/16 13:54,10.04,35
5/28/16 18:54,7.38,35
5/28/16 18:54,7.38,35
5/28/16 18:54,7.38,35
5/28/16 18:54,7.38,35
5/28/16 22:14,4.04,35
5/28/16 22:14,4.04,35
5/28/16 23:14,6.94,35
5/28/16 23:34,6.72,35
5/28/16 23:34,6.72,35
5/28/16 23:34,6.72,35
5/28/16 23:34,6.72,35
5/28/16 23:34,6.72,35
5/28/16 23:34,6.72,35
5/28/16 23:34,6.72,35
5/28/16 23:34,6.72,35
5/28/16 23:34,6.72,35
5/28/16 23:34,6.72,35
5/29/16 1:34,10.38,35
5/29/16 1:34,10.38,35
5/29/16 1:34,10.38,35
5/29/16 6:54,5.37,35
5/29/16 6:54,5.37,35
5/29/16 6:54,5.37,35
5/29/16 6:54,5.37,35
5/29/16 6:54,5.37,35
5/29/16 7:54,4.07,35
5/29/16 7:54,4.07,35
5/29/16 7:54,4.07,35
5/29/16 7:54,4.07,35
5/29/16 7:54,4.07,35
5/29/16 7:54,4.07,35
5/29/16 7:54,4.07,35
5/29/16 7:54,4.07,35
5/29/16 10:14,2.22,35
5/29/16 10:34,2.59,35
5/29/16 10:34,2.59,35
5/29/16 10:34,2.59,35
5/29/16 10:34,2.59,35
5/29/16 13:34,11.24,35
5/29/16 13:34,11.24,35
5/29/16 13:34,11.24,35
5/29/16 13:34,11.24,35
5/29/16 14:14,11.23,35
5/29/16 14:14,11.23,35
5/29/16 14:14,11.23,35
5/29/16 14:14,11.23,35
5/29/16 14:14,11.23,35
5/29/16 16:14,11.06,35
5/29/16 16:14,11.06,35
5/29/16 16:14,11.06,35
5/29/16 16:14,11.06,35
5/29/16 19:34,7.05,35
5/29/16 19:34,7.05,35
5/29/16 19:34,7.05,35
5/29/16 19:34,7.05,35
5/29/16 19:34,7.05,35
5/29/16 19:34,7.05,35
5/29/16 19:54,6.02,35
5/29/16 19:54,6.02,35
5/29/16 19:54,6.02,35
5/29/16 19:54,6.02,35
5/29/16 19:54,6.02,35
5/29/16 20:14,5.64,35
5/29/16 20:14,5.64,35
5/29/16 20:14,5.64,35
5/29/16 20:14,5.64,35
5/29/16 20:34,5.38,35
5/29/16 20:54,4.74,35
5/29/16 20:54,4.74,35
5/29/16 20:54,4.74,35
5/29/16 20:54,4.74,35
5/29/16 21:14,4.29,35
5/29/16 21:34,4.73,35
5/29/16 21:54,4.57,35
5/29/16 21:54,4.57,35
5/29/16 22:14,3.97,35
5/29/16 22:34,3.46,35
5/29/16 22:54,3.3,35
5/29/16 23:14,3.38,35
5/29/16 23:34,5.43,35
5/29/16 23:54,5.2,35
5/29/16 23:54,5.2,35
5/30/16 0:14,8.48,35
5/30/16 0:14,8.48,35
5/30/16 0:14,8.48,35
5/30/16 4:14,12.05,35
5/30/16 4:14,12.05,35
5/30/16 4:54,11.75,35
5/30/16 4:54,11.75,35
5/30/16 4:54,11.75,35
5/30/16 5:14,11.25,35
5/30/16 7:14,10.34,35
5/30/16 7:14,10.34,35
5/30/16 7:14,10.34,35
5/30/16 7:14,10.34,35
5/30/16 7:14,10.34,35
5/30/16 7:54,8.03,35
5/30/16 10:54,2.3,35
5/30/16 10:54,2.3,35
5/30/16 12:54,9.49,35
5/30/16 13:34,9.7,35
5/30/16 13:34,9.7,35
5/30/16 13:34,9.7,35
5/30/16 13:34,9.7,35
5/30/16 13:34,9.7,35
5/30/16 13:34,9.7,35
5/30/16 13:34,9.7,35
5/30/16 13:34,9.7,35
