time[YYYY-MM-DD hh:mm:ss PST], water_temperature,depth
5/27/16 12:54,8.708,35
5/27/16 14:54,8.642,35
5/27/16 16:54,8.927,35
5/27/16 18:54,9.29,35
5/27/16 20:54,9.213,35
5/27/16 22:54,8.969,35
5/28/16 0:54,8.759,35
5/28/16 2:54,8.705,35
5/28/16 4:54,8.879,35
5/28/16 6:54,9.167,35
5/28/16 8:54,9.331,35
5/28/16 10:54,9.041,35
5/28/16 12:54,8.885,35
5/28/16 14:54,8.902,35
5/28/16 16:54,8.875,35
5/28/16 18:54,9.082,35
5/28/16 20:54,9.365,35
5/28/16 22:54,9.206,35
5/29/16 0:54,8.949,35
5/29/16 2:54,8.802,35
5/29/16 4:54,8.859,35
5/29/16 6:54,9.206,35
5/29/16 8:54,9.413,35
5/29/16 10:54,9.347,35
5/29/16 12:54,8.762,35
5/29/16 14:54,8.651,35
5/29/16 16:54,8.709,35
5/29/16 18:54,8.977,35
5/29/16 20:54,9.248,35
5/29/16 22:54,9.314,35
5/30/16 0:54,8.875,35
5/30/16 2:54,8.644,35
5/30/16 4:54,8.591,35
5/30/16 6:54,8.752,35
5/30/16 8:54,8.852,35
5/30/16 10:54,9.511,35
5/30/16 12:54,8.889,35
5/30/16 14:54,8.728,35
5/30/16 16:54,8.535,35
5/30/16 18:54,8.856,35
5/30/16 20:54,9.324,35
5/30/16 22:54,9.096,35
5/31/16 0:54,8.708,35
5/31/16 2:54,8.577,35
5/31/16 4:54,8.397,35
5/31/16 6:54,8.312,35
5/31/16 8:54,8.486,35
5/31/16 10:54,8.657,35
5/31/16 12:54,8.515,35
5/31/16 14:54,8.594,35
5/31/16 16:54,8.471,35
5/31/16 18:54,8.455,35
5/31/16 20:54,8.473,35
5/31/16 22:54,8.528,35
6/1/16 0:54,8.442,35
6/1/16 2:54,8.425,35
6/1/16 4:54,8.397,35
6/1/16 6:54,8.422,35
6/1/16 8:54,8.412,35
6/1/16 10:54,8.482,35
6/1/16 12:54,8.517,35
6/1/16 14:54,8.413,35
6/1/16 16:54,8.44,35
6/1/16 18:54,8.403,35
6/1/16 20:54,8.393,35
6/1/16 22:54,8.481,35
6/2/16 0:54,8.659,35
6/2/16 2:54,8.633,35
6/2/16 4:54,8.57,35
6/2/16 6:54,8.426,35
6/2/16 8:54,8.352,35
6/2/16 10:54,8.431,35
6/2/16 12:54,8.56,35
6/2/16 14:54,8.701,35
6/2/16 16:54,8.614,35
6/2/16 18:54,8.456,35
6/2/16 20:54,8.41,35
6/2/16 22:54,8.493,35
6/3/16 0:54,8.666,35
6/3/16 2:54,8.566,35
6/3/16 4:54,8.553,35
6/3/16 6:54,8.508,35
6/3/16 8:54,8.439,35
6/3/16 10:54,8.516,35
6/3/16 12:54,8.683,35
6/3/16 14:54,8.713,35
6/3/16 16:54,8.59,35
6/3/16 18:54,8.481,35
6/3/16 20:54,8.453,35
6/3/16 22:54,8.572,35
6/4/16 0:54,8.545,35
6/4/16 2:54,8.503,35
6/4/16 4:54,8.426,35
6/4/16 6:54,8.384,35
6/4/16 8:54,8.351,35
6/4/16 10:54,8.387,35
6/4/16 12:54,8.5,35
6/4/16 14:54,8.495,35
6/4/16 16:54,8.464,35
6/4/16 18:54,8.363,35
6/4/16 20:54,8.166,35
6/4/16 22:54,8.15,35
6/5/16 0:54,8.449,35
6/5/16 2:54,8.466,35
6/5/16 4:54,8.262,35
6/5/16 6:54,8.309,35
6/5/16 8:54,8.311,35
6/5/16 10:54,8.196,35
6/5/16 12:54,8.172,35
6/5/16 14:54,8.263,35
6/5/16 16:54,8.306,35
6/5/16 18:54,8.372,35
6/5/16 20:54,8.368,35
6/5/16 22:54,8.258,35
6/6/16 0:54,8.204,35
6/6/16 2:54,8.26,35
6/6/16 4:54,8.338,35
6/6/16 6:54,8.286,35
6/6/16 8:54,8.373,35
6/6/16 10:54,8.403,35
6/6/16 12:54,8.371,35
6/6/16 14:54,8.346,35
6/6/16 16:54,8.557,35
6/6/16 18:54,8.26,35
6/6/16 20:54,8.116,35
6/6/16 22:54,8.061,35
6/7/16 0:54,8.273,35
6/7/16 2:54,8.405,35
6/7/16 4:54,8.428,35
6/7/16 6:54,8.222,35
6/7/16 8:54,7.98,35
6/7/16 10:54,8.038,35
6/7/16 12:54,8.027,35
6/7/16 14:54,8.195,35
6/7/16 16:54,8.362,35
6/7/16 18:54,8.311,35
6/7/16 20:54,8.027,35
